INCIDENT_YEAR,SHARK_COMMON_NAME,SHARK_SCIENTIFIC_NAME,INCIDENT_COUNT,,,,,,,,
1883,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1884,Tiger Shark,Galeocerdo cuvier ,1,,,,,,,,
1885,Tiger Shark,Galeocerdo cuvier ,1,,,,,,,,
1886,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1887,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1888,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1889,Tiger Shark,Galeocerdo cuvier ,1,,,,,,,,
1890,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1891,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1892,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1893,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1894,Tiger Shark,Galeocerdo cuvier ,1,,,,,,,,
1895,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1896,Tiger Shark,Galeocerdo cuvier ,1,,,,,,,,
1897,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1898,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1899,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1900,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1901,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1902,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1903,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1904,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1905,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1906,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1907,Tiger Shark,Galeocerdo cuvier ,1,,,,,,,,
1908,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1909,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1910,Tiger Shark,Galeocerdo cuvier ,1,,,,,,,,
1911,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1912,Tiger Shark,Galeocerdo cuvier ,2,,,,,,,,
1913,Tiger Shark,Galeocerdo cuvier ,1,,,,,,,,
1914,Tiger Shark,Galeocerdo cuvier ,1,,,,,,,,
1915,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1916,Tiger Shark,Galeocerdo cuvier ,1,,,,,,,,
1917,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1918,Tiger Shark,Galeocerdo cuvier ,1,,,,,,,,
1919,Tiger Shark,Galeocerdo cuvier ,1,,,,,,,,
1920,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1921,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1922,Tiger Shark,Galeocerdo cuvier ,3,,,,,,,,
1923,Tiger Shark,Galeocerdo cuvier ,2,,,,,,,,
1924,Tiger Shark,Galeocerdo cuvier ,3,,,,,,,,
1925,Tiger Shark,Galeocerdo cuvier ,2,,,,,,,,
1926,Tiger Shark,Galeocerdo cuvier ,1,,,,,,,,
1927,Tiger Shark,Galeocerdo cuvier ,1,,,,,,,,
1928,Tiger Shark,Galeocerdo cuvier ,2,,,,,,,,
1929,Tiger Shark,Galeocerdo cuvier ,4,,,,,,,,
1930,Tiger Shark,Galeocerdo cuvier ,1,,,,,,,,
1931,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1932,Tiger Shark,Galeocerdo cuvier ,1,,,,,,,,
1933,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1934,Tiger Shark,Galeocerdo cuvier ,3,,,,,,,,
1935,Tiger Shark,Galeocerdo cuvier ,3,,,,,,,,
1936,Tiger Shark,Galeocerdo cuvier ,3,,,,,,,,
1937,Tiger Shark,Galeocerdo cuvier ,2,,,,,,,,
1938,Tiger Shark,Galeocerdo cuvier ,1,,,,,,,,
1939,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1940,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1941,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1942,Tiger Shark,Galeocerdo cuvier ,1,,,,,,,,
1943,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1944,Tiger Shark,Galeocerdo cuvier ,1,,,,,,,,
1945,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1946,Tiger Shark,Galeocerdo cuvier ,2,,,,,,,,
1947,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1948,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1949,Tiger Shark,Galeocerdo cuvier ,4,,,,,,,,
1950,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1951,Tiger Shark,Galeocerdo cuvier ,2,,,,,,,,
1952,Tiger Shark,Galeocerdo cuvier ,2,,,,,,,,
1953,Tiger Shark,Galeocerdo cuvier ,3,,,,,,,,
1954,Tiger Shark,Galeocerdo cuvier ,1,,,,,,,,
1955,Tiger Shark,Galeocerdo cuvier ,1,,,,,,,,
1956,Tiger Shark,Galeocerdo cuvier ,1,,,,,,,,
1957,Tiger Shark,Galeocerdo cuvier ,2,,,,,,,,
1958,Tiger Shark,Galeocerdo cuvier ,1,,,,,,,,
1959,Tiger Shark,Galeocerdo cuvier ,3,,,,,,,,
1960,Tiger Shark,Galeocerdo cuvier ,1,,,,,,,,
1961,Tiger Shark,Galeocerdo cuvier ,2,,,,,,,,
1962,Tiger Shark,Galeocerdo cuvier ,3,,,,,,,,
1963,Tiger Shark,Galeocerdo cuvier ,2,,,,,,,,
1964,Tiger Shark,Galeocerdo cuvier ,2,,,,,,,,
1965,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1966,Tiger Shark,Galeocerdo cuvier ,3,,,,,,,,
1967,Tiger Shark,Galeocerdo cuvier ,1,,,,,,,,
1968,Tiger Shark,Galeocerdo cuvier ,1,,,,,,,,
1969,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1970,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1971,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1972,Tiger Shark,Galeocerdo cuvier ,4,,,,,,,,
1973,Tiger Shark,Galeocerdo cuvier ,2,,,,,,,,
1974,Tiger Shark,Galeocerdo cuvier ,1,,,,,,,,
1975,Tiger Shark,Galeocerdo cuvier ,5,,,,,,,,
1976,Tiger Shark,Galeocerdo cuvier ,1,,,,,,,,
1977,Tiger Shark,Galeocerdo cuvier ,1,,,,,,,,
1978,Tiger Shark,Galeocerdo cuvier ,2,,,,,,,,
1979,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1980,Tiger Shark,Galeocerdo cuvier ,2,,,,,,,,
1981,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1982,Tiger Shark,Galeocerdo cuvier ,3,,,,,,,,
1983,Tiger Shark,Galeocerdo cuvier ,1,,,,,,,,
